context,question,answer
"
The user is part of a team working on a machine learning project and they use W&B for model training and evaluation. They have generated some reports about the training progress and performance of their models. Now, they want to share those reports with their teammates for collaborative analysis and suggestions. The user is a bit confused about who can edit these shared reports and is wondering whether the collaborators can make changes to their original reports.
","
Can my teammates edit the reports that I share with them from my W&B account? Or will they only have view access to the reports?
","
Reports that you share are view-only. If these reports are created within a team project, both you (as the creator) and other team administrators can toggle permissions between edit or view access for the team members. So if you specifically allow, other team members can edit the shared reports. For shared individual projects, only you can see the reports. When you share a report, the invited users via email will need to log in to W&B to view the report, but if you provide a magic link, the recipients won't need to log into W&B to view the report."
"
The user has written their first report on W&B and wants to share it with their team for collaborative editing and feedback. However, they are unsure about how to share the report and who can edit it. 
","
I just finished my report, how can I share it with my team for editing? And who among my team can edit the report?
","
Once you have saved a report, you can easily share it by selecting the **Share** button on the upper right hand corner. You can either provide an email account or copy a link, known as the magic link, which would grant access to your report.

Concerning editing, if the report is created within a team project, both the administrator or the member who created the report can toggle permissions between edit or view access for other team members. However, please note that shared reports are view-only by default."
"
A user has just created a W&B report within their private project and now they want to share this report with a few specific team members. However, they are unsure about the steps they need to follow to do this, and they aren't sure if the team members need an account to access the report.
","
Hi, I've created a report in my private project. Can I share it with specific people in my team? And do they need a W&B account to view it?
","
Yes, you can share your report with specific members of your team. To do this, select the **Share** button on the upper right hand corner of the report. You can either provide their email accounts or copy the magic link. If you choose to invite them by entering their email address, they will need to log into Weights & Biases to view the report. However, if you give them the magic link, they do not need to log into Weights & Biases to view the report. Take note, shared reports are view-only."
"The user has just created a report in W&B and they want to share it with their team for collaboration. They are unsure of how to perform this action, and have some specific queries around privacy settings and collaborative editing.
","How can I share my W&B reports with my team and allow them to edit as well? Also, is there a way to resolve if there's an edit conflict?
","
Absolutely, you can indeed share your W&B reports with your team. The ""Share"" button on the upper right-hand corner of your report serves this purpose. If you want to allow your team members to edit your report, it should be noted that on team projects, both the administrator, or member who created the report, can toggle permissions between edit or view access for other team members.

In regards to edit conflicts - if you and a team member happen to edit the same report simultaneously, a warning notification will appear to guide you in resolving the potential conflict.

Remember, the drafts of your reports auto-save, and you can always ""Save to Report"" to publish your changes to the shared report.
"
"
The user has created a report within W&B and now wants to collaborate with others on it. They are curious about how to share the report and then allow others to edit it and if there are any conflicts during collaboration, how they'd be resolved. They don't know whether they should provide edit or view-only access, and also they are interested in knowing who can edit reports.
","
How can I shared the report I created with my team? Can they edit it and what happens if more than one person edits it at the same time? Can I comment on some specific part of the report?
","
Yes, you can share your W&B reports with your team. 

To share a report, select the `Share` button on the upper right hand corner. You can either provide an email account or copy the magic link. If you share by email, the user will need to log into Weights & Biases to view the report. If you share using the magic link, the user doesn't need to log into Weights & Biases.

For team projects, both the administrator and the member who created the report can toggle permissions between edit or view access for other team members. Shared reports are view-only by default.

If an edit conflict occurs, for instance if more than one person tries to edit the same report at the same time, you'll see a warning notification that will guide you to resolve the potential conflicts.

Additionally, you can click the comment button on a panel in a report to add a comment directly to that panel, allowing more specific discussions on different parts of a report."
"
The user is trying to manage experiments with multiple datasets, which can be considerably challenging. They want to know how to use Weights & Biases for this purpose and ensure their experiments are organized and easily reproducible. 
","
I am working with multiple datasets for pre-training and fine-tuning. How do I manage and organize these different datasets using Weights & Biases? 
","
Using Weights & Biases you can save a different artifact for each data source. Here’s a sample code to do that

```
run = wandb.init(job_type=""dataset-creation"")
artifact = wandb.Artifact('nature-dataset', type='dataset')
artifact.add_dir(""nature-data"")
run.log_artifact(artifact)
```

You can run this code for each of your datasets. This will allow you to keep your experiments organized and easily reproducible. 

Artifacts let you see and formalize the flow of data through your model development scripts. This includes preprocessing, training, testing, analysis, and any other job type. 

You can further explore the interactive graph of your data [here](https://wandb.ai/stacey/mendeleev/artifacts/balanced\_data/inat\_80-10-10\_5K/ab79f01e007113280018/graph). The graph allows you to visualize your data workflow and easily share it with others."
"
The user is training a machine learning model using the Weights & Biases platform. To facilitate efficient training, they've decided to implement a more complex curriculum. They want to start with pre-training on subsets of classes from ImageNet, and subsequently fine-tune the model using specialized datasets like iNaturalist or their own unique photo collection. They're aware that this type of workflow could involve managing and keeping track of several data artifacts, and they're looking for a way to simplify and streamline this process.
","
In my training process, I'm using various datasets. How can I use W&B to manage different artifacts effectively for easy reproduction of experiments?
","
With W&B, you can save a distinct artifact for each data type or source to keep your experiments organized and more easily reproducible. To handle multiple datasets, you use the `wandb.Artifact()` function to create new artifacts for each dataset. You give them names (e.g., 'nature-dataset'), tag them as 'dataset' types, specify a directory, and then log each artifact like so: 

```python
run = wandb.init(job_type=""dataset-creation"")
artifact = wandb.Artifact('nature-dataset', type='dataset')
artifact.add_dir(""nature-data"")
run.log_artifact(artifact)
```

Doing this allows Weights & Biases to automatically track changes to your datasets and creates new versions when changes are made. This feature greatly simplifies juggling multiple datasets and helps ensure that your experiments can be accurately replicated.

For a more graphical understanding of your data workflow, you can visualize your artifacts as a directed graph using the W&B interface.
Please refer to your W&B dashboard or this link to explore interactively: [Explore the graph interactively →](https://wandb.ai/stacey/mendeleev/artifacts/balanced\_data/inat\_80-10-10\_5K/ab79f01e007113280018/graph)"
"
A user is working with complex machine learning tasks and is making the transition from pre-training on one dataset to fine-tuning on a custom dataset. As there is a lot of data involved, and they all come from unique sources, organizing these datasets for convenient access and uses becomes a priority. 
","
I'm pre-training on ImageNet classes and then fine-tuning on a custom dataset. This process has become quite messy. Is there a way to handle multiple datasets efficiently in W&B?
","
Yes, you can efficiently handle multiple datasets in Weights & Biases. In tasks that require complex curriculums like domain adaptation, transfer learning, and meta-learning, you can save an artifact for each data type or source. This method keeps your experiments organized and easily reproducible. Here's an example of how to do this:

```python
# This is how you can initialize a run and create an Artifact
run = wandb.init(job_type=""dataset-creation"")
artifact = wandb.Artifact('your-dataset-name', type='dataset')
artifact.add_dir(""your-dataset-folder"")

# Log the artifact. Now, you have a new version of the artifact tracked in W&B.
run.log_artifact(artifact)
```
In this example, replace 'your-dataset-name' and 'your-dataset-folder' with your actual dataset name and folder. By doing this for each unique data type or source, you can juggle multiple datasets conveniently. 

You can also visualize your experiments interactively in W&B with Artifacts graph. It provides you with a holistic view of your dataset-versioning and model-building process. 

But remember, if nothing changes in your artifact, W&B doesn't re-upload any data or create a new version. For a new version to be created and tracked, there should be a change in the tracked files in the artifact."
"
The user is working on a machine learning project which involves multiple datasets. They are at the stage where they are trying to manage these datasets in their work pipeline -- preprocessing, training, testing, and analysis. They are looking specifically at how to track changes in their datasets using Weights and Biases.
","
I'm using multiple datasets for my model training and testing, all varying in size and sometimes content. How can I efficiently manage these datasets and keep track of their versions? Also, can I annotate them to remember what each one is for?
","
Yes, you can do this by using W&B's Artifacts. They provide a way to manage and keep track of versions of your datasets efficiently. Here is how you would do it:

```python
# Initialize a new wandb run
run = wandb.init(job_type=""dataset-creation"")

# Create an artifact for this run, here 'nature-dataset' is the custom name of the artifact
artifact = wandb.Artifact('nature-dataset', type='dataset')

# Add the dataset directory to it
artifact.add_dir(""nature-data"")

# Log the artifact into your run 
run.log_artifact(artifact)
```

In this code, any changes in your datasets will be captured and a new version will be created. You don't have to manually upload the dataset -- if the dataset does not change, it will not re-upload any data. You can also annotate your datasets with custom names (like 'nature-dataset' above) and add notes or key-value pair metadata to them.

For juggling with multiple datasets, you can save a different artifact for each data type or source to keep your experiments organized. This will also make your experiments easily reproducible.

In addition, Artifacts also allow you to visualize and easily share your data workflow.

![](/images/data_model_versioning/juggle_multiple_datasets_1.png) 

![](/images/data_model_versioning/juggle_multiple_datasets_2.png)

This way, you can track the flow of data through your model development scripts - whether for preprocessing, training, testing, analysis, or any other job type."
"
A user is constructing a complex training pipeline involving various datasets. They're planning to pre-train their model on one dataset and possibly fine-tune it using another custom dataset. This process could involve multiple rounds of data manipulation where updates and changes are made to respective datasets for each stage. The user is unsure of how to track, organize and visualize these manipulations, versions and workflows in Weights & Biases (W&B).
","
Hey, I'm working with multiple versions of data and I keep making updates to it for different training stages. It's a mess! How can I better track and visualize these versions and workflows within Weights & Biases? 
","
W&B provides a feature called Artifacts to help you manage your datasets. You can create an artifact for each type of data or source. Each time you make an update to an artifact (dataset), W&B will automatically create a new version of it. Here's how you can do it:

```python
run = wandb.init(job_type=""dataset-creation"")
artifact = wandb.Artifact('nature-dataset', type='dataset')
artifact.add_dir(""nature-data"")
# Edit the list of ids in one of your files, say 'animal-ids.txt'.
# On logging the artifact, W&B will identify the changed file
run.log_artifact(artifact)
# Now you have a new version of the artifact, tracked in W&B
```

This way, you can track different versions of your datasets and changes made to them. You can also visualize and easily share your data workflow within W&B by exploring the Artifacts graphs interactively. You can see formalized flow of data through your preprocessing, training, testing or analysis scripts.
[Explore the graph interactively](https://wandb.ai/stacey/mendeleev/artifacts/balanced_data/inat_80-10-10_5K/ab79f01e007113280018/graph)"
